objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
wa0096,objects/CFPA/05474,,Harvey,image/jpeg,large bunny rabbit head with heart stuck on glass of frame,ARD,,n.d.,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0097,objects/CFPA/05476,,Palm,image/jpeg,Large square painting with palm tree fonrd design moving from dark to light center,Dawn Behling,,2009,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0098,objects/CFPA/05477,,,image/jpeg,"Dawn Behling, Palm 2009, mixed media, Purchased award - Dean's Office College of Fine & Performing Arts",,,2009,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0099,objects/CFPA/05480,,Power,image/jpeg,"photograph of a Black man sitting in front of the Jackson County Public library steps, below the Confederate monument with a sign that reads, ""Black Lives Matter""; On the back of the BLM portrait is a note, ""Chancellor's residence Entryway"" (may be reused frame from fine arts and not in Chancellor's house; juried award and most likely went right to Dean's Office)",Torrion Stevenson,,2020,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0100,objects/CFPA/05481,,"Window #1, #2, #3",image/jpeg,"3 images of buildings; orientation of images is portrait, landscape and portrait within matted framed",Stuart Shils,,2012,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0101,objects/CFPA/05483,,Pattern 3,image/jpeg,dark landscape type digital image,Tina Thames,,2021,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,,eng,
wa0102,objects/CFPA/05484,,Raku Vessel,image/jpeg,black and grey vase with stone-like base,Kimberely Fansler,,2013,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,PhysicalObject ,eng,
wa0103,objects/CFPA/05485,,,image/jpeg,"Kimberly Fansler, Raku Vessel,  2013 Annual Jurried Student Exhibition, Purchase Award - office of the Dean, Collge of Fine and Performing Arts",,,n.d.,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0104,objects/CFPA/05488,,Caraviaggio's Basket,image/jpeg,oil painting with grapes and grape vines in a basket with a grey background,Samantha Davis,,2010,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0105,objects/CFPA/05487,,,image/jpeg,"Samantha Davis, Caraviaggio's Basket, 2010,  Oil on Canvas, Purchased Award - Dean's Office, College of Fine & Performing Arts",,,n.d.,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0106,objects/CFPA/05491,,Sueno Americano (American Dream),image/jpeg,three slipcast milk jugs with screenprinted surface design,Christina Colom,,2019,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,PhysicalObject,eng,
wa0107,objects/CFPA/05496,,The Promised Land,image/jpeg,digitla image of red undulating waves with a glass marble or bubble towards the right-hand side of image,Cole Johnson,,2014,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0108,objects/CFPA/05494,,The Promised Land,image/jpeg,,Cole Johnson,,2014,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0109,objects/CFPA/05493,,The Promised Land,image/jpeg,"Cole Johnson,  the Promised Land, 2014,  2014 Annual Juried Student Exhbition, Purchase Award - Office of the Dean College of Fine and Performing Arts",Cole Johnson,,n.d.,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0110,objects/CFPA/05497,,Standing Human Figure,image/jpeg,Back of nude with hands clasped behind their neck; standing; charcoal drawing on sepia toned paper,Kenneth Aaron Pace,,2021,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0111,objects/CFPA/05498,,,image/jpeg,,,,n.d.,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0112,objects/CFPA/05499,,,image/jpeg,Milky white oblong vase strucutre with green ball base,Cole Johnson,,n.d.,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,PhysicalObject,eng,
wa0113,objects/CFPA/05501,,,image/jpeg,,,,n.d.,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,PhysicalObject,eng,
wa0114,objects/CFPA/05502,,Landscape,image/jpeg,two bodies positioned to look like mountains,William Buddenberg,,n.d.,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0115,objects/CFPA/05503,,,image/jpeg,,,,n.d.,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0116,objects/CFPA/05504,,,image/jpeg,"William Buddenberg, Landscape, 2014, giclee print, 2014 Annual Juried Student Exhibition, Purchase Award - Office of the Dean College of Fine and Performing Arts",,,n.d.,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0117,objects/CFPA/05505,,Weight of the World,image/jpeg,medical worker carrying virus on back while standing in roped off exhibit area,Zhane Strachan,,2020,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0118,objects/CFPA/05507,,Impressions Multiplied,image/jpeg,"5 faces with simillar expression, done in plaster",Sarah Bonner,,2009,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,PhysicalObject,eng,
wa0119,objects/CFPA/05509,,Impressions Multiplied,image/jpeg,,Sarah Bonner,,2009,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,PhysicalObject,eng,
wa0120,objects/CFPA/05506,,,image/jpeg,"Sarah Bonner, Impressions Multiplied, 2009,  Cast Plaster & Shellac, 2009 Annual Student Exhbition Purchase - Office of the Dean College of Fine & Performing Arts",,,n.d.,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,PhysicalObject,eng,
wa0121,objects/CFPA/05510,,,image/jpeg,Framed invitation of 5th year anniversary of College of Fine and Performing Arts,Brittney Carroll,,2010,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0122,objects/CFPA/IMG_3600,,Changes in the Year,image/jpeg,Framed screenprint from a book; Cherokee syllabary is part of the title,,,2022,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0123,objects/CFPA/IMG_3601,,Aquisition paperwork with Cherokee syllabary,image/jpeg,,,,n.d.,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0124,objects/CFPA/IMG_3602,,"""Indian Dance"" - band music for WCU band (for marching band) handwritten",image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0125,objects/SOM/SOM2106,,Western Carolina Community Civic Orchestra typed history,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0126,objects/SOM/SOM2100,,Timeline of WCU Civic Orchestra,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0127,objects/SOM/SOM2101,,Notes on WC Community Civic Orchestra history,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0128,objects/SOM/SOM2244,,Example: 2007-2008 program divider,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0129,objects/SOM/SOM2246,,Example: 2007-2008 program,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0130,objects/SOM/SOM2245,," ""Civic Orchestraa to Give Its Final Concert April 21"" ",image/jpeg,"The Sylva Herald & Ruralite, Thursday, April 18, 1996",,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0131,objects/SOM/SOM2248,," ""Classical music is family tradition for Henigbaum, Arps"" ",image/jpeg,"(Front) The Sylva Herald and Ruralite, November, 1, 2001",,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0132,objects/SOM/SOM2249,,,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0133,objects/SOM/SOM2250,,School of Music faculty and student concerts and recitals,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0134,objects/SOM/SOM2251,,Symphonic Band Photos,image/jpeg,Unsigned and undated,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0135,objects/SOM/SOM2252,,"James Dooley, SOM Department Head, correspondence",image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0136,objects/SOM/SOM2253,,James Dooley Western District All-State Band Correspondence,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0137,objects/SOM/SOM2256,,SOM Faculty Directory 1,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0138,objects/SOM/SOM2257,,SOM Faculty Directory 2,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0139,objects/SOM/SOM2259,,SOM Promo Material,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0140,objects/SOM/SOM2258,,SOM History,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0141,objects/SOM/SOM2261,,SOM History,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0142,objects/SOM/SOM2260,,SOM History,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0143,objects/SOM/SOM2262,,SOM History,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0144,objects/SOM/SOM2263,,SOM History,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0145,objects/SOM/SOM2264,,SOM History,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0146,objects/SOM/SOM2265,,Random pictures,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0147,objects/SOM/SOM2266,,SOM History,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0148,objects/SOM/SOM2267,,SOM History,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0149,objects/SOM/SOM2269,,SOM History,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0150,objects/SOM/SOM2270,,SOM History,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0151,objects/SOM/SOM2271,,"""Correspondences between students and Dr. James Dooley and/or Robert B. Welch (1970-1976)
- Document from Bert Wiley, requesting Dr. Dooley create a Bachelors degree program in music""",image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0152,objects/SOM/SOM2273,,SOM History,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0153,objects/SOM/SOM2274,,"Rondo Newsletters - 1989, 2004-2007, 2009, 2011, 2013-2014 (example photo)",image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0154,objects/SOM/SOM2275,,SOM History,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,Image;StillImage,eng,
wa0155,objects/SOM/SOM2277,,Box with History,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,PhysicalObject,eng,
wa0156,objects/SOM/SOM2279,,Box with Records,image/jpeg,,,,n.d.,,,Coulter;SOM;,"Cullowhee, NC",35.3111185,-83.181993,,,School of Music,,,,,,PhysicalObject,eng,
wa0157,,,2019 Macy's Day Parade with Chancelor Kelli Brown and Dennis Brown and POTM marching band,image/jpeg,,,,2019,,,,"Cullowhee, NC",,,,,,,,,,,,eng,
wa0158,,,Macy's Day Parade shield,image/jpeg,,,,2019,,,,"Cullowhee, NC",,,,,,,,,,,PhysicalObject,eng,
wa0159,,,Macy's Day Parade stuffed bear,image/jpeg,,,,2019,,,,"Cullowhee, NC",,,,,,,,,,,PhysicalObject,eng,
wa0160,,,,image/jpeg,,,,n.d.,,,,"Cullowhee, NC",,,,,,,,,,,,eng,
wa0161,,,"""The Collected Cottage"" by Kathryn Crisp Greeley",image/jpeg,,,,n.d.,,,,"Cullowhee, NC",,,,,,,,,,,,eng,
wa0162,,,,image/jpeg,,,,n.d.,,,,"Cullowhee, NC",,,,,,,,,,,,eng,
wa0163,,,,image/jpeg,,,,n.d.,,,,"Cullowhee, NC",,,,,,,,,,,,eng,
wa0164,,,"""Life of Irwin Belk: Call me Ike"" ",image/jpeg,,,,n.d.,,,,"Cullowhee, NC",,,,,,,,,,,,eng,
wa0165,,,Mahogany Secretary,image/jpeg,,,,n.d.,,,,"Cullowhee, NC",,,,,,,,,,,PhysicalObject,eng,
,,,,,,,,,,,,,,,,,,,,,,,,eng,
